timestamp,pkg_value,ram_value,bmc_value
1756958481.0031395,79.37,14.01,144
1756958482.0032277,81.35,13.99,236
1756958483.0033078,81.36,13.98,237
1756958484.0033872,81.4,13.95,237
1756958485.0034704,81.49,13.97,236
1756958486.0035636,81.56,13.97,237
1756958487.0036538,81.45,13.94,236
1756958488.0037332,81.52,13.97,236
1756958489.0038126,81.52,13.96,237
1756958490.0038912,81.57,13.98,237
1756958491.0039713,81.6,13.97,237
1756958492.00405,81.67,13.96,237
1756958493.0041368,81.6,13.97,236
1756958494.0042315,81.62,13.94,237
1756958495.004316,81.67,13.95,237
1756958496.004398,81.64,13.96,238
1756958497.0044808,81.73,13.97,236
1756958498.0045633,81.67,14.01,238
1756958499.0046508,81.7,14.01,238
1756958500.0047464,81.59,14.04,238
1756958501.0048413,81.67,14.05,238
1756958502.0048902,81.7,14.07,237
1756958503.004972,81.8,14.06,237
1756958504.0050566,81.8,14.04,238
1756958505.0051396,81.79,14.05,237
1756958506.00522,81.89,14.05,237
1756958507.0053027,81.77,14.0,238
1756958508.0053859,81.8,14.0,238
1756958509.005466,81.85,14.01,238
1756958510.005548,81.82,13.99,238
1756958511.0056286,81.8,14.0,238
1756958512.005712,81.86,14.0,238
1756958513.0057929,81.97,14.01,237
1756958514.005873,81.86,14.01,238
1756958515.0059583,81.9,14.03,238
1756958516.0060391,81.89,14.04,238
1756958517.0061224,81.95,14.08,238
1756958518.0062165,81.95,14.04,238
1756958519.0063076,81.92,14.0,238
1756958520.0063977,81.96,13.95,238
1756958521.0064893,81.66,13.98,237
1756958522.0065837,81.81,13.98,237
1756958523.0066707,81.87,14.03,238
1756958524.0067542,81.93,14.01,238
1756958525.0068374,81.97,14.01,238
1756958526.0068924,82.01,14.04,238
1756958527.0069745,82.14,14.07,238
1756958528.0070543,82.02,14.05,238
1756958529.0071352,82.06,14.04,238
1756958530.0072212,82.06,14.04,238
1756958531.007314,82.08,14.05,238
1756958532.007398,82.25,14.03,238
1756958533.0074904,82.21,14.01,238
1756958534.0075846,82.15,14.04,238
1756958535.007682,82.16,14.02,238
1756958536.0077734,82.18,14.02,238
1756958537.0078626,82.18,14.02,238
1756958538.0079577,82.14,14.02,237
1756958539.0080502,82.25,14.07,238
1756958540.0081377,82.17,14.05,238
1756958541.00832,45.9,10.54,238
