timestamp,pkg_value,ram_value,bmc_value
1756960089.000185,21.01,7.42,196.0
1756960090.0004642,18.99,6.64,163.0
1756960091.0006576,18.84,6.67,132.0
1756960092.0008829,19.5,7.07,131.0
1756960093.0011337,19.15,6.72,131.0
1756960094.001395,19.69,7.21,132.0
1756960095.0016313,19.71,7.17,132.0
1756960096.0018344,19.1,6.81,132.0
1756960097.002076,19.71,7.22,132.0
1756960098.0023336,19.66,7.26,133.0
1756960099.0025773,19.35,6.98,132.0
1756960100.002815,19.53,6.99,132.0
1756960101.003048,19.37,7.13,132.0
1756960102.0032055,24.56,8.13,130.0
1756960103.003305,79.02,14.06,150.0
1756960104.003395,81.57,14.05,235.0
1756960105.003477,81.6,14.06,238.0
1756960106.0035613,81.71,14.03,238.0
1756960107.0036485,81.79,14.07,238.0
1756960108.003738,81.86,14.05,238.0
1756960109.003828,81.85,14.07,238.0
1756960110.0039158,81.8,14.06,238.0
1756960111.0039988,81.78,14.08,238.0
1756960112.004084,81.81,14.04,238.0
1756960113.0041752,81.85,14.08,238.0
1756960114.0042639,81.98,14.11,238.0
1756960115.0043561,81.93,14.08,238.0
1756960116.0044498,82.0,14.09,239.0
1756960117.0045373,81.94,14.09,238.0
1756960118.004618,81.99,14.1,238.0
1756960119.0046976,82.07,14.1,238.0
1756960120.0047789,82.02,14.1,238.0
1756960121.0048583,82.06,14.12,238.0
1756960122.0049398,82.15,14.11,238.0
1756960123.0050364,82.09,14.08,238.0
1756960124.0051112,82.09,14.09,238.0
1756960125.005208,82.24,14.1,238.0
1756960126.0052981,82.15,14.07,238.0
1756960127.0053818,82.19,14.04,238.0
1756960128.0054657,82.25,14.05,238.0
1756960129.0055516,82.02,14.03,238.0
1756960130.0056417,81.99,14.06,239.0
1756960131.0057247,82.13,14.09,238.0
1756960132.0058055,82.07,14.08,238.0
1756960133.005889,82.17,14.11,238.0
1756960134.0059774,82.17,14.08,239.0
1756960135.0060587,82.16,14.07,239.0
1756960136.0061035,82.13,14.08,239.0
1756960137.006187,82.15,14.1,239.0
1756960138.006267,82.13,14.09,238.0
1756960139.0063481,82.28,14.11,238.0
1756960140.0064297,82.24,14.08,239.0
1756960141.0065105,82.23,14.08,239.0
1756960142.0065904,82.22,14.09,239.0
1756960143.0066707,82.27,14.1,239.0
1756960144.0067525,82.27,14.11,238.0
1756960145.006846,82.37,14.11,239.0
1756960146.0069351,82.3,14.09,239.0
1756960147.0070157,82.37,14.07,239.0
1756960148.0071025,82.4,14.09,239.0
1756960149.0071836,82.41,14.09,239.0
1756960150.0072722,82.4,14.12,239.0
1756960151.0073516,82.48,14.1,239.0
1756960152.007433,82.45,14.09,239.0
1756960153.0075135,82.44,14.08,239.0
1756960154.007595,82.48,14.13,239.0
1756960155.0076785,82.49,14.12,239.0
1756960156.0077584,82.56,14.1,239.0
1756960157.007845,82.58,14.1,239.0
1756960158.0079262,82.73,14.12,239.0
1756960159.0080106,82.59,14.07,239.0
1756960160.0081036,82.58,14.06,239.0
1756960161.0081964,82.57,14.06,239.0
1756960162.00829,82.53,14.08,239.0
1756960163.0084927,47.6,10.66,239.0
1756960164.00868,20.6,7.43,164.0
1756960165.0088875,20.77,7.59,135.0
1756960166.0091383,20.72,7.65,134.0
1756960167.009389,19.95,7.24,134.0
1756960168.0096436,20.61,7.58,137.0
1756960169.009884,20.62,7.47,136.0
1756960170.010139,19.45,6.77,132.0
1756960171.0103865,20.02,7.24,132.0
1756960172.010598,19.99,7.17,133.0
