timestamp,pkg_value,ram_value,bmc_value
1756961004.0033543,60.06,14.0,133
1756961005.0034451,66.76,14.0,138
1756961006.0035372,66.77,13.99,218
1756961007.003629,66.8,14.01,221
1756961008.0037181,66.74,14.01,221
1756961009.0038078,66.74,13.97,221
1756961010.0038986,66.75,13.99,220
1756961011.0039887,66.77,14.01,221
1756961012.0040793,66.82,14.04,221
1756961013.0041735,66.74,14.05,221
1756961014.004249,66.72,14.03,221
1756961015.0043395,66.71,13.99,221
1756961016.0044308,66.73,13.99,221
1756961017.0045211,66.72,14.01,221
1756961018.0046108,66.85,14.01,221
1756961019.004702,66.78,14.02,221
1756961020.004793,66.78,14.01,221
1756961021.004884,66.79,14.01,221
1756961022.0049746,66.87,14.02,221
1756961023.0050654,66.81,14.0,221
1756961024.005164,66.83,14.0,221
1756961025.0052495,66.86,13.97,221
1756961026.005339,66.87,13.97,221
1756961027.0054278,66.83,13.98,221
1756961028.0055182,66.87,13.98,221
1756961029.0056083,66.84,13.99,221
1756961030.0057,66.84,13.97,221
1756961031.0057917,66.85,13.99,221
1756961032.0058818,66.95,14.04,221
1756961033.0059724,66.86,13.98,221
1756961034.0060635,66.86,14.01,221
1756961035.006157,66.83,13.99,221
1756961036.006252,66.85,14.02,221
1756961037.0063426,66.85,13.97,221
1756961038.0064325,66.91,14.01,221
1756961039.0065215,66.86,13.96,221
1756961040.0066087,66.86,13.96,221
1756961041.0067012,66.88,13.99,222
1756961042.0067928,66.88,14.04,222
1756961043.0068834,66.8,14.01,222
1756961044.0069733,66.84,14.0,221
1756961045.0070636,66.91,13.93,221
1756961046.0071518,66.87,13.95,221
1756961047.007244,66.81,13.94,222
1756961048.0073144,67.01,13.96,221
1756961049.007404,66.9,13.96,221
1756961050.0074909,66.88,13.94,222
1756961051.007582,66.92,13.97,222
1756961052.0076725,66.98,14.01,222
1756961053.0077643,66.92,14.01,222
1756961054.0078506,66.88,14.0,222
1756961055.0079403,66.88,14.02,221
1756961056.0080302,66.89,13.96,221
1756961057.008121,66.98,13.99,221
1756961058.0082188,66.92,13.98,221
1756961059.008313,67.03,13.97,221
1756961060.008399,66.87,13.98,222
1756961061.0084832,67.03,14.01,222
1756961062.0085685,66.93,14.03,222
1756961063.0086563,67.05,14.01,222
1756961064.0088243,41.5,10.22,221
1756961065.009065,20.8,7.43,178
