timestamp,pkg_value,ram_value,bmc_value
1756797412.0033588,34.64,11.37,130
1756797413.0034385,59.91,13.96,135
1756797414.0035155,59.95,14.0,201
1756797415.0035925,59.97,13.99,213
1756797416.003671,59.98,13.96,212
1756797417.003749,59.97,13.99,213
1756797418.0038264,60.04,14.0,213
1756797419.0038962,60.1,14.03,213
1756797420.003962,60.01,14.01,213
1756797421.0040398,60.04,14.02,213
1756797422.004117,60.06,13.99,213
1756797423.0041943,60.09,13.99,213
1756797424.0042715,60.15,14.03,213
1756797425.0043502,60.1,14.03,213
1756797426.0044272,59.91,14.02,212
1756797427.004504,59.74,14.02,213
1756797428.0045824,59.82,14.03,212
1756797429.00466,59.77,14.02,213
1756797430.0047393,59.92,14.04,212
1756797431.004817,59.85,14.01,212
1756797432.004895,59.89,14.0,212
1756797433.004962,59.82,13.98,213
1756797434.0050392,59.86,14.01,213
1756797435.005116,59.98,14.01,213
1756797436.005193,59.88,13.99,213
1756797437.0052702,59.97,14.02,212
1756797438.0053473,60.04,14.02,213
1756797439.005424,59.95,14.05,213
1756797440.0055017,59.99,14.05,213
1756797441.0055797,60.09,14.08,213
1756797442.005658,60.05,14.05,213
1756797443.0057356,60.07,14.07,213
1756797444.0058136,60.08,14.05,213
1756797445.0058928,60.08,14.04,213
1756797446.005971,60.2,14.05,213
1756797447.006049,60.08,14.06,213
1756797448.0061262,60.07,14.08,213
1756797449.0062034,60.12,14.1,213
1756797450.0062804,60.12,14.05,213
1756797451.0063574,60.12,14.08,213
1756797452.0064347,60.14,14.06,213
1756797453.0065124,60.1,14.06,213
1756797454.0065904,60.14,14.06,213
1756797455.006668,60.16,14.05,213
1756797456.0067465,60.16,14.06,214
1756797457.006825,60.13,14.07,213
1756797458.006895,60.18,14.08,213
1756797459.0069726,60.14,14.05,213
1756797460.0070498,60.14,14.02,213
1756797461.007128,60.15,14.01,213
1756797462.007205,60.15,14.04,213
1756797463.0072815,60.23,14.05,213
1756797464.0073595,60.15,14.05,213
1756797465.007438,60.16,14.04,213
1756797466.0075219,60.17,13.99,213
1756797467.0076,60.15,14.0,213
1756797468.0076776,60.2,14.01,213
1756797469.0077572,60.16,14.04,213
1756797470.007835,60.16,14.02,213
1756797471.0078952,60.19,14.04,213
1756797472.0080833,55.04,13.13,213
1756797473.0083275,20.36,7.03,215
