19.54
timestamp,pkg_value,ram_value,bmc_value
1756796673.003368,80.63,14.04,132
1756796674.003449,83.26,14.01,137
1756796675.003529,83.33,14.02,236
1756796676.0036092,83.45,14.03,240
1756796677.0036926,83.36,14.02,240
1756796678.0037837,83.36,14.04,240
1756796679.0038736,83.36,14.05,240
1756796680.0039635,83.42,14.0,240
1756796681.0040507,83.4,14.0,240
1756796682.0041323,83.46,14.05,240
1756796683.0042188,83.5,14.04,240
1756796684.004308,83.43,14.02,240
1756796685.0043705,83.45,14.02,240
1756796686.0044513,83.49,14.02,240
1756796687.0045316,83.5,14.01,240
1756796688.0046163,83.71,14.0,240
1756796689.0046978,83.57,13.99,240
1756796690.0047798,83.6,14.02,240
1756796691.00487,83.66,14.03,240
1756796692.0049508,83.72,14.02,240
1756796693.0050387,83.83,13.98,240
1756796694.0051198,83.79,14.02,240
1756796695.005199,83.92,14.0,241
1756796696.0052786,83.74,14.01,241
1756796697.0053577,83.69,14.0,240
1756796698.0054412,83.72,14.0,240
1756796699.0055254,83.84,14.0,240
1756796700.0056152,84.0,14.06,241
1756796701.0057046,83.91,14.0,241
1756796702.0057926,83.91,14.0,241
1756796703.0058756,83.87,14.0,241
1756796704.005956,83.99,14.04,241
1756796705.0060356,83.95,14.05,241
1756796706.0061183,84.04,14.03,241
1756796707.0062058,83.94,13.99,240
1756796708.006294,83.99,14.0,241
1756796709.0063705,84.03,14.0,241
1756796710.0064538,84.05,14.0,241
1756796711.0065434,84.18,14.01,241
1756796712.0066242,84.07,13.98,241
1756796713.0067055,84.23,14.0,241
1756796714.0067945,84.23,14.03,241
1756796715.0068808,84.17,14.0,241
1756796716.006962,84.26,14.01,241
1756796717.0070407,84.32,14.03,241
1756796718.0071268,84.25,14.03,241
1756796719.007214,84.35,14.08,241
1756796720.0072947,84.32,14.0,241
1756796721.0073748,84.39,14.03,241
1756796722.0074625,84.43,14.02,241
1756796723.0075457,84.38,14.01,241
1756796724.00763,84.41,13.97,241
1756796725.0077145,84.44,14.01,241
1756796726.007805,84.45,14.02,241
1756796727.0079005,84.51,14.03,241
1756796728.0079842,83.73,14.01,241
1756796729.0080788,84.11,14.01,241
1756796730.0081697,84.14,14.03,240
1756796731.0082579,84.16,14.02,241
1756796732.008337,84.13,14.04,241
1756796733.0085542,48.07,10.66,241
