timestamp,pkg_value,ram_value,bmc_value
1756361670.0002663,41.77,15.14,190
1756361671.0006325,38.05,13.46,173
1756361672.000948,38.39,13.97,132
1756361673.0012183,39.42,14.76,131
1756361674.001538,38.59,14.14,132
1756361675.001842,39.16,14.51,132
1756361676.0021653,39.82,15.19,133
1756361677.0024335,38.89,14.18,132
1756361678.0027177,39.0,14.42,132
1756361679.0030506,39.07,14.4,131
1756361680.0033703,39.32,14.69,130
1756361681.0036743,38.91,14.14,132
1756361682.0039978,39.33,14.73,134
1756361683.0043325,39.75,14.98,131
1756361684.0046237,38.48,13.89,133
1756361685.0049589,39.11,14.61,131
1756361686.0052876,39.03,14.46,131
1756361687.005614,38.69,14.1,131
1756361688.0059402,38.78,14.42,132
1756361689.0062609,39.33,14.63,131
1756361690.0066006,38.44,13.96,131
1756361691.0069451,38.95,14.37,132
1756361692.0072622,39.74,14.96,131
1756361693.0075827,38.8,14.26,131
1756361694.0079129,38.89,14.56,133
1756361695.008236,39.42,14.42,132
1756361696.0085843,38.54,13.91,131
1756361697.0089006,39.1,14.86,132
1756361698.0092459,38.92,14.3,131
1756361699.0095851,39.12,14.55,133
1756361700.0099065,38.85,14.51,131
1756361701.010212,39.5,14.86,132
1756361702.0104873,38.09,13.8,132
1756361703.0108473,39.23,14.47,132
1756361704.0112007,39.33,14.8,132
1756361705.0115373,39.41,14.69,133
1756361706.0118551,39.6,14.95,133
1756361707.012145,39.49,14.64,132
1756361708.01246,39.36,14.96,132
1756361709.0128248,39.89,15.28,132
1756361710.0131288,39.86,15.31,133
1756361711.0134518,39.42,14.91,132
1756361712.0137758,39.72,15.37,132
1756361713.014093,39.15,14.62,132
1756361714.0143266,39.1,14.67,132
1756361715.0146542,39.12,14.54,132
1756361716.0148854,39.69,14.94,132
1756361717.0152028,39.56,14.95,132
1756361718.0154867,39.16,14.55,133
1756361719.0157948,39.29,14.75,133
1756361720.0161164,40.05,15.14,131
1756361721.0164473,39.16,14.72,132
1756361722.016773,39.36,14.64,133
1756361723.0170858,38.86,14.23,132
1756361724.0173972,38.99,14.18,132
1756361725.0177271,39.48,14.97,132
1756361726.0180414,39.78,14.93,132
1756361727.018376,39.33,14.73,132
1756361728.0187016,39.13,14.51,133
1756361729.0190172,38.61,14.26,132
1756361730.0193515,39.05,14.65,131
1756361731.0196764,38.85,14.32,131
1756361732.0199614,38.41,14.04,131
1756361733.0202684,38.03,13.74,131
1756361734.020561,38.99,14.51,131
1756361735.0208678,38.92,14.52,132
1756361736.0211787,39.31,14.57,131
1756361737.0215256,38.61,13.96,134
1756361738.021847,39.46,14.27,132
1756361739.0221581,39.09,14.4,132
1756361740.022478,39.41,14.55,133
1756361741.0228162,39.94,15.07,132
1756361742.0231397,38.75,14.2,132
1756361743.0234752,39.37,14.53,132
1756361744.0238032,40.24,15.25,132
1756361745.0241203,38.68,14.12,133
1756361746.0244222,39.47,14.68,132
1756361747.0247262,38.94,14.4,132
1756361748.0250068,39.53,14.37,133
1756361749.0253341,40.18,15.2,131
1756361750.0255625,39.28,14.56,133
1756361751.0258722,38.41,13.85,134
1756361752.0261736,39.82,15.28,131
