timestamp,pkg_value,ram_value,bmc_value
1756359103.0002873,41.54,15.02,199
1756359104.0007,38.65,14.15,155
1756359105.0010016,40.02,15.12,132
1756359106.0013192,39.7,15.05,133
1756359107.0016603,39.61,14.83,133
1756359108.0019677,40.07,15.19,132
1756359109.002241,39.07,14.49,133
1756359110.0025601,39.71,14.98,132
1756359111.0028565,39.33,14.63,133
1756359112.0031695,38.94,14.34,132
1756359113.0034604,39.3,14.78,132
1756359114.0037827,39.22,14.59,132
1756359115.0041187,38.62,13.85,133
1756359116.0044494,39.45,14.84,133
1756359117.004665,75.48,25.77,132
1756359118.0048802,106.14,29.66,133
1756359119.0050898,106.18,29.65,193
1756359120.0053005,106.25,29.67,209
1756359121.0055413,106.25,29.6,209
1756359122.0057592,106.14,29.67,209
1756359123.0059602,106.1,29.71,209
1756359124.006167,106.11,29.72,209
1756359125.0063946,105.99,29.7,209
1756359126.0066133,106.13,29.7,209
1756359127.006815,106.14,29.7,209
1756359128.0070376,106.17,29.66,210
1756359129.0072653,106.25,29.71,209
1756359130.0074706,106.16,29.64,209
1756359131.007686,105.98,29.69,209
1756359132.0078971,105.87,29.58,209
1756359133.008105,105.79,29.58,209
1756359134.0083172,105.93,29.59,209
1756359135.008546,105.9,29.6,209
1756359136.0087698,105.96,29.63,209
1756359137.0090098,106.13,29.53,209
1756359138.0092342,106.11,29.62,209
1756359139.00946,106.19,29.6,209
1756359140.0096831,106.22,29.62,209
1756359141.0098948,106.16,29.68,209
1756359142.0101056,106.19,29.68,210
1756359143.0103195,106.4,29.67,210
1756359144.010558,106.3,29.71,210
1756359145.010775,106.29,29.68,209
1756359146.0109937,106.36,29.7,209
1756359147.0112145,106.34,29.64,209
1756359148.0114276,106.43,29.64,210
1756359149.0116413,106.41,29.61,209
1756359150.0118582,106.52,29.64,209
1756359151.0120718,106.49,29.63,210
1756359152.0122817,106.55,29.62,209
1756359153.0124934,106.46,29.62,209
1756359154.0127025,106.46,29.64,210
1756359155.0129132,106.54,29.61,209
1756359156.01313,106.49,29.59,210
1756359157.0133445,106.58,29.65,210
1756359158.0135782,106.67,29.67,210
1756359159.0137887,106.69,29.65,209
1756359160.0139997,106.66,29.7,210
1756359161.0142133,106.67,29.71,210
1756359162.014424,106.76,29.7,210
1756359163.0146432,106.63,29.69,210
1756359164.0148556,106.72,29.75,210
1756359165.0150678,106.77,29.68,210
1756359166.0152872,106.7,29.7,210
1756359167.0154958,106.62,29.66,209
1756359168.0157065,106.75,29.71,210
1756359169.0159185,106.77,29.71,209
1756359170.0161498,106.71,29.68,210
1756359171.0163932,106.75,29.66,210
1756359172.0166059,106.78,29.71,209
1756359173.0168166,106.71,29.69,210
1756359174.017036,106.72,29.74,210
1756359175.0172534,106.71,29.71,210
1756359176.017476,106.89,29.7,210
1756359177.017786,92.68,26.38,210
1756359178.018114,39.99,14.7,210
1756359179.0184402,39.37,14.6,171
1756359180.01877,40.03,15.02,132
1756359181.0190487,40.27,14.97,134
1756359182.0193818,38.86,14.13,133
1756359183.0197003,39.49,14.52,132
1756359184.0200315,39.57,14.61,132
1756359185.0203838,39.53,14.81,133
1756359186.0206978,39.55,14.58,132
