timestamp,pkg_value,ram_value,bmc_value
1756957780.000168,20.68,7.1,192
1756957781.000451,19.41,7.0,166
1756957782.0006776,18.57,6.24,133
1756957783.0009065,19.31,6.89,133
1756957784.001105,19.28,6.84,132
1756957785.0013497,19.07,6.95,131
1756957786.0015795,19.3,6.93,133
1756957787.0017893,19.3,7.0,132
1756957788.00198,18.85,6.54,132
1756957789.002211,19.5,7.13,132
1756957790.00245,19.49,7.05,132
1756957791.0026815,19.6,7.06,132
1756957792.002888,19.31,6.88,133
1756957793.0030258,22.29,7.92,132
1756957794.0031219,61.11,14.04,136
1756957795.0031948,63.46,14.04,208
1756957796.0032742,63.5,14.03,215
1756957797.0033529,63.5,14.05,215
1756957798.003432,63.5,14.04,215
1756957799.003512,63.55,14.02,215
1756957800.003592,63.55,14.02,215
1756957801.0036712,63.66,14.02,216
1756957802.0037494,63.54,14.04,215
1756957803.003828,63.58,14.06,215
1756957804.003908,63.59,14.06,215
1756957805.0039868,63.58,14.07,215
1756957806.0040648,63.61,14.03,215
1756957807.0041437,63.61,14.03,215
1756957808.004191,63.57,13.99,216
1756957809.004269,63.66,14.04,215
1756957810.0043478,63.57,14.01,215
1756957811.004428,63.55,14.01,216
1756957812.0045102,63.73,14.02,216
1756957813.004592,63.73,14.0,216
1756957814.0046868,63.7,13.97,216
1756957815.004774,63.72,13.99,216
1756957816.004929,63.74,14.0,216
1756957817.0050738,63.63,14.02,216
1756957818.0052798,63.64,14.04,216
1756957819.0054877,63.63,14.02,215
1756957820.0056949,63.63,14.04,216
1756957821.0059018,63.67,14.04,216
1756957822.0060637,63.65,14.03,216
1756957823.0062685,63.66,14.04,215
1756957824.006413,63.73,14.04,215
1756957825.0066195,63.68,14.0,216
1756957826.0067644,63.67,13.99,216
1756957827.0069156,63.69,13.99,215
1756957828.0071223,63.7,14.03,216
1756957829.0073435,63.68,14.01,216
1756957830.0075529,63.77,14.02,216
1756957831.0076978,63.7,14.05,215
1756957832.0078928,63.65,14.03,216
1756957833.008038,63.78,14.08,216
1756957834.0082068,63.73,14.04,216
1756957835.0084145,63.7,14.01,216
1756957836.0085592,63.68,14.04,216
1756957837.0087545,63.78,14.04,216
1756957838.0089004,63.93,14.06,216
1756957839.0090468,63.75,14.05,216
1756957840.009256,63.77,14.05,216
1756957841.0094514,63.74,14.01,216
1756957842.0096023,63.76,14.03,217
1756957843.0097547,63.74,14.02,216
1756957844.0099008,63.74,14.01,216
1756957845.0100634,63.75,14.01,215
1756957846.0102925,63.79,14.0,216
1756957847.0104442,63.79,14.02,215
1756957848.0106652,63.78,14.01,216
1756957849.0108101,63.85,14.05,215
1756957850.01096,63.78,14.02,216
1756957851.011102,63.73,14.04,216
1756957852.0112066,63.91,14.07,216
1756957853.0113513,63.8,14.04,216
1756957854.0115855,36.96,9.64,216
1756957855.0118415,19.76,7.1,167
1756957856.0119994,20.03,7.18,131
1756957857.01225,20.06,7.3,135
1756957858.012399,20.59,7.55,134
1756957859.012647,19.72,7.06,132
1756957860.0129044,19.69,7.11,132
1756957861.0132108,19.57,6.87,133
1756957862.0134916,19.93,7.03,131
1756957863.0137231,19.7,7.12,134
